,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-290,1998,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-143,1997,22.0,30,19,12,15,3,15,31,48.4,16,29,16,13,23,53,46,1
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-176,2001,23.6,49,26,18,15,16,20,45,44.4,25,37,2,35,10,59,14,1
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-181,1991,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-166,1995,21.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,4
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-045,1999,24.8,52,32,26,21,5,23,40,57.5,17,29,9,20,35,87,41,0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-274,1999,11.7,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,3,0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-215,2000,2.6,3,0,2,1,0,2,4,50.0,2,3,1,2,1,4,0,0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-344,2007,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-274,2000,2.7,3,2,2,0,1,3,3,100.0,0,0,0,0,2,5,1,0
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-071,1997,22.2,31,15,18,12,1,12,15,80.0,3,34,25,9,22,53,58,0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-331,1997,12.1,19,13,10,4,5,3,13,23.1,10,16,1,15,7,26,7,0
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-255,2001,18.7,19,15,3,7,9,8,15,53.3,7,17,1,16,4,23,4,1
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-013,2000,6.9,15,10,8,6,1,11,14,78.6,3,6,1,5,5,20,24,0
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-070,1991,6.6,16,6,5,5,6,8,18,44.4,10,14,1,13,7,23,4,1
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-256,2001,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24-262,1999,17.8,25,11,3,16,6,11,29,37.9,18,20,1,19,14,39,13,0
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-086,1994,10.3,16,11,6,6,4,5,12,41.7,7,18,0,18,6,22,4,0
