,,,,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-281,1998,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-134,1997,21.0,46,2.19,40,3,0,1,0,2,3,0.14,2,0,0,1,0,0
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-167,2001,22.8,134,5.88,96,20,6,8,3,1,15,0.66,10,2,1,1,1,0
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-172,1991,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-157,1995,20.0,2,0.1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-036,1999,23.8,56,2.36,45,6,2,1,0,2,5,0.21,2,3,0,0,0,0
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-265,1999,11.5,27,2.34,16,0,3,5,3,0,8,0.69,3,0,1,1,3,0
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-206,2000,2.4,7,2.86,5,1,0,0,1,0,2,0.82,1,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-335,2007,0.2,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-265,2000,2.7,9,3.36,4,1,0,1,3,0,5,1.87,1,1,0,0,3,0
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-062,1997,21.2,15,0.71,13,1,0,1,0,0,1,0.05,1,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-322,1997,12.1,42,3.46,27,1,5,5,2,2,6,0.49,3,1,1,1,0,0
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-246,2001,18.0,74,4.1,47,6,11,7,1,2,8,0.44,4,1,1,2,0,0
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-004,2000,5.9,7,1.19,5,2,0,0,0,0,2,0.34,1,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-061,1991,5.6,12,2.13,11,0,0,1,0,0,2,0.36,2,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-247,2001,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,MF,24-253,1999,16.9,51,3.01,42,0,1,4,3,1,11,0.65,7,0,1,2,1,0
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-077,1994,10.0,40,4.01,26,3,6,2,3,0,6,0.6,1,1,2,0,2,0
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-064,1998,21.7,136,6.26,109,12,6,5,4,0,12,0.55,8,2,0,1,1,0
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-223,1992,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,27-066,1996,15.9,55,3.47,52,1,1,1,0,0,6,0.38,5,1,0,0,0,0
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,"FW,MF",24-071,1999,1.9,5,2.69,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,25-106,1998,7.0,11,1.56,11,0,0,0,0,0,2,0.28,2,0,0,0,0,0
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"DF,MF",30-251,1993,2.8,10,3.59,10,0,0,0,0,0,2,0.72,2,0,0,0,0,0
