,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-290,1998,5.0,4,0,0,1,0,2.3,0.23,-1.7,-0.34,13,45,28.9,133,25,26.3,29.5,18,55.6,43.3,35,3,8.6,9,1.8,18.3
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-166,1995,21.0,19,1,0,4,1,15.5,0.28,-2.5,-0.12,78,228,34.2,626,113,30.8,30.2,64,54.7,44.5,191,29,15.2,37,1.76,18.4
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,31-179,1992,25.0,34,0,0,9,3,35.9,0.36,4.9,0.2,83,216,38.4,893,119,19.7,27.2,114,35.1,33.6,270,27,10.0,54,2.16,18.9
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-051,1990,1.0,1,0,0,0,0,0.5,0.23,-0.5,-0.54,5,12,41.7,37,3,29.7,28.0,2,50.0,35.0,11,0,0.0,1,1.0,23.0
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26-276,1997,2.0,7,0,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,19,2,10.5,0,0.0,9.6
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34-224,1989,23.0,40,4,1,2,1,40.4,0.31,1.4,0.06,121,352,34.4,604,110,42.7,35.9,169,55.6,43.7,299,20,6.7,22,0.96,13.3
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30-260,1993,24.5,46,1,0,4,0,39.3,0.31,-6.7,-0.27,147,413,35.6,884,91,35.3,33.8,193,52.3,41.4,382,23,6.0,21,0.86,13.0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28-346,1995,1.5,2,0,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40.0,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10.0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,21-194,2002,12.0,16,2,0,1,0,13.6,0.25,-2.4,-0.2,25,58,43.1,464,70,11.2,22.3,46,13.0,19.1,121,9,7.4,12,1.0,14.3
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,33-194,1990,14.0,25,3,0,5,2,20.6,0.31,-2.4,-0.17,42,123,34.1,519,53,22.2,27.5,46,17.4,19.7,149,6,4.0,31,2.21,20.4
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,21-141,2002,26.0,58,5,0,10,2,52.7,0.3,-3.3,-0.13,128,537,23.8,1200,157,33.3,31.1,178,77.0,53.6,394,30,7.6,38,1.46,14.6
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,26-102,1997,15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.7,15.8
