,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-281,1998,5,5,450,5.0,4,0.8,10,6,60.0,4,1,0,2,40.0,0,0,0,0,
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-157,1995,20,20,1800,20.0,18,0.9,49,31,65.3,13,3,4,8,40.0,2,1,1,0,50.0
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,31-170,1992,24,24,2160,24.0,32,1.33,100,71,68.0,14,4,6,6,25.0,0,0,0,0,
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-042,1990,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26-267,1997,2,2,180,2.0,7,3.5,11,4,36.4,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34-215,1989,22,22,1980,22.0,39,1.77,114,75,69.3,6,7,9,5,22.7,5,4,1,0,20.0
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30-251,1993,23,23,2025,22.5,41,1.82,110,69,63.6,7,4,12,4,17.4,1,1,0,0,0.0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28-337,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,21-185,2002,11,11,990,11.0,15,1.36,45,30,71.1,5,4,2,1,9.1,2,2,0,0,0.0
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,33-185,1990,14,14,1260,14.0,25,1.79,59,36,62.7,5,4,5,2,14.3,3,3,0,0,0.0
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,21-132,2002,25,25,2250,25.0,55,2.2,153,100,66.7,3,4,18,2,8.0,4,4,0,0,0.0
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,26-093,1997,16,16,1433,15.9,25,1.57,78,52,70.5,5,4,7,3,18.8,3,2,1,0,33.3
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,24-134,1999,10,9,817,9.1,16,1.76,52,37,71.2,5,1,3,2,22.2,2,1,0,1,0.0
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26-344,1997,8,8,720,8.0,20,2.5,45,25,57.8,2,2,4,0,0.0,1,1,0,0,0.0
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,30-009,1994,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30-331,1993,16,16,1436,16.0,22,1.38,55,34,63.6,4,4,8,5,31.3,2,2,0,0,0.0
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29-349,1994,24,24,2160,24.0,32,1.33,97,67,72.2,8,5,11,8,33.3,5,5,0,0,0.0
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31-352,1992,25,25,2250,25.0,41,1.64,124,86,71.8,8,5,12,6,24.0,6,6,0,0,0.0
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,31-140,1992,21,21,1890,21.0,19,0.9,73,55,75.3,13,6,2,7,33.3,1,1,0,0,0.0
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,25-088,1998,4,4,360,4.0,5,1.25,16,11,68.8,4,0,0,1,25.0,0,0,0,0,
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,31-119,1992,24,24,2160,24.0,47,1.96,133,87,66.2,5,5,14,2,8.3,2,2,0,0,0.0
ENG-Premier League,2324,Manchester City,Ederson,BRA,GK,30-186,1993,23,23,1987,22.1,23,1.04,63,41,66.7,15,5,3,6,26.1,2,2,0,0,0.0
ENG-Premier League,2324,Manchester City,Stefan Ortega,GER,GK,31-105,1992,2,1,173,1.9,3,1.56,8,5,62.5,1,0,0,0,0.0,0,0,0,0,
ENG-Premier League,2324,Manchester Utd,André Onana,CMR,GK,27-323,1996,25,25,2250,25.0,34,1.36,122,89,74.6,14,2,9,7,28.0,3,3,0,0,0.0
