,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-281,1998,5.0,113,151,74.8,2697,1943,36,36,100.0,52,53,98.1,25,61,41.0,0,0.0,0.0,0.0,0,4,0,0,2
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-134,1997,21.0,1237,1459,84.8,19330,6524,649,714,90.9,509,578,88.1,59,124,47.6,2,2.0,2.3,0.0,19,111,27,6,116
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-167,2001,22.8,824,1094,75.3,12575,3156,480,542,88.6,261,344,75.9,64,136,47.1,7,7.0,7.9,0.0,61,26,51,10,90
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-172,1991,0.4,27,32,84.4,464,90,14,16,87.5,9,10,90.0,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,1
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-157,1995,20.0,507,662,76.6,11871,8162,150,150,100.0,257,259,99.2,100,249,40.2,0,0.0,0.0,0.0,0,20,0,0,2
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-036,1999,23.8,1551,1717,90.3,26617,7200,688,738,93.2,726,761,95.4,109,161,67.7,4,3.3,2.5,0.7,23,197,21,2,212
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-265,1999,11.5,162,204,79.4,2252,259,94,114,82.5,58,67,86.6,3,4,75.0,2,0.7,0.7,1.3,8,7,5,0,19
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-206,2000,2.4,122,138,88.4,1666,345,81,90,90.0,37,39,94.9,1,3,33.3,1,0.2,0.3,0.8,2,9,8,0,15
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-335,2007,0.2,15,18,83.3,209,56,10,13,76.9,5,5,100.0,0,0,,0,0.0,0.0,0.0,1,1,2,0,2
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-265,2000,2.7,91,115,79.1,1564,303,46,52,88.5,36,44,81.8,8,15,53.3,2,1.1,0.5,0.9,3,9,3,1,12
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-062,1997,21.2,1224,1388,88.2,21343,7208,503,533,94.4,624,679,91.9,83,140,59.3,0,0.7,0.5,-0.7,3,104,5,1,83
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-322,1997,12.1,296,377,78.5,3924,690,186,222,83.8,87,107,81.3,6,11,54.5,3,2.6,2.0,0.4,23,13,14,1,34
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-246,2001,18.0,588,756,77.8,9231,1728,332,385,86.2,203,250,81.2,41,76,53.9,2,3.8,3.5,-1.8,34,22,30,6,56
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-004,2000,5.9,301,352,85.5,5207,1898,135,156,86.5,138,151,91.4,24,37,64.9,2,0.6,0.4,1.4,3,26,4,2,26
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-061,1991,5.6,394,438,90.0,6658,1856,178,188,94.7,183,200,91.5,26,35,74.3,1,0.7,0.6,0.3,5,52,8,1,57
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-247,2001,0.5,44,49,89.8,654,152,21,22,95.5,23,26,88.5,0,0,,0,0.0,0.0,0.0,0,9,0,0,7
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,MF,24-253,1999,16.9,479,586,81.7,6223,1547,318,367,86.6,138,169,81.7,5,9,55.6,1,1.7,1.8,-0.7,23,43,16,0,69
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-077,1994,10.0,274,397,69.0,4473,1194,135,168,80.4,114,159,71.7,20,41,48.8,1,1.7,1.6,-0.7,13,15,19,4,51
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-064,1998,21.7,1116,1311,85.1,17023,4848,600,651,92.2,426,490,86.9,53,89,59.6,6,5.8,6.9,0.2,64,103,71,6,209
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-223,1992,0.3,35,36,97.2,583,137,14,15,93.3,21,21,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,27-066,1996,15.9,1166,1326,87.9,19946,5886,535,578,92.6,520,575,90.4,88,122,72.1,2,1.8,2.5,0.2,24,134,41,4,193
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,"FW,MF",24-071,1999,1.9,81,96,84.4,1172,215,50,52,96.2,23,28,82.1,6,11,54.5,0,0.5,0.4,-0.5,3,1,4,2,3
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,25-106,1998,7.0,397,478,83.1,6216,1599,204,227,89.9,168,194,86.6,18,39,46.2,1,0.2,0.4,0.8,2,41,7,1,58
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"DF,MF",30-251,1993,2.8,229,252,90.9,3754,1034,115,122,94.3,91,101,90.1,18,23,78.3,0,0.1,0.2,-0.1,3,28,8,2,33
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22-332,2001,25.0,1798,1947,92.3,30624,11229,783,829,94.5,916,971,94.3,76,108,70.4,1,0.2,0.7,0.8,5,114,4,1,97
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"DF,FW",28-166,1995,0.1,2,3,66.7,15,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
