,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-290,1998,5.0,151,124,27,9,0,0,0,0,0,0,0,0,113,0,1
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-143,1997,22.0,1514,1343,169,34,5,8,38,135,0,0,0,0,1279,2,11
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-176,2001,23.6,1134,1022,106,6,3,2,139,10,90,76,0,0,857,6,32
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-181,1991,0.4,32,27,5,1,0,0,2,4,0,0,0,0,27,0,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-166,1995,21.0,692,587,103,39,0,1,0,0,0,0,0,0,525,2,1
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-045,1999,24.8,1773,1717,51,28,2,13,29,0,21,15,0,0,1600,5,17
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-274,1999,11.7,208,192,16,0,3,0,5,1,0,0,0,0,164,0,9
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-215,2000,2.6,143,139,4,3,0,0,1,0,1,0,0,0,126,0,1
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-344,2007,0.2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-274,2000,2.7,115,104,10,3,3,2,13,0,6,1,0,0,91,1,1
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-071,1997,22.2,1463,1388,72,38,2,3,4,2,0,0,0,0,1291,3,13
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-331,1997,12.1,377,353,19,1,6,2,6,4,0,0,0,0,296,5,15
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-255,2001,18.7,793,744,47,3,3,2,98,9,35,30,0,0,618,2,23
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-013,2000,6.9,408,364,42,5,0,1,5,37,0,0,0,0,347,2,2
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-070,1991,6.6,542,525,11,8,3,1,3,1,0,0,0,0,486,6,2
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-256,2001,0.5,49,44,5,1,0,0,0,4,0,0,0,0,44,0,0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24-262,1999,17.8,610,601,5,3,0,0,8,2,0,0,0,0,499,4,9
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-086,1994,10.3,404,363,39,4,6,1,44,3,24,22,0,0,276,2,18
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-073,1998,22.5,1346,1268,70,37,26,2,48,10,16,14,1,0,1144,8,27
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-232,1992,0.3,40,39,1,1,0,0,0,0,0,0,0,0,39,0,0
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,27-075,1996,15.9,1326,1179,141,43,9,4,29,98,0,0,0,0,1166,6,12
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,"FW,MF",24-080,1999,2.0,106,95,11,4,0,1,14,3,4,4,0,0,89,0,3
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,25-115,1998,7.0,478,429,47,4,1,2,7,43,0,0,0,0,397,2,5
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"DF,MF",30-260,1993,2.8,252,235,17,7,0,1,2,10,0,0,0,0,229,0,0
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22-341,2001,26.0,1998,1952,45,23,3,2,2,7,0,0,0,0,1845,1,9
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"DF,FW",28-175,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2324,Aston Villa,Boubacar Kamara,FRA,MF,24-097,1999,18.4,1035,994,40,32,6,8,2,8,0,0,0,0,922,1,13
ENG-Premier League,2324,Aston Villa,Calum Chambers,ENG,DF,29-039,1995,0.5,36,36,0,0,0,0,0,0,0,0,0,0,34,0,0
ENG-Premier League,2324,Aston Villa,Cameron Archer,ENG,MF,22-222,2001,0.1,6,6,0,0,1,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2324,Aston Villa,Clément Lenglet,FRA,DF,28-256,1995,8.7,656,616,40,29,0,7,2,3,0,0,0,0,587,0,1
ENG-Premier League,2324,Aston Villa,Diego Carlos,BRA,DF,30-350,1993,12.9,876,849,27,24,0,4,1,0,0,0,0,0,770,0,2
ENG-Premier League,2324,Aston Villa,Douglas Luiz,BRA,MF,25-295,1998,23.9,1602,1423,176,93,9,12,89,6,76,47,4,2,1377,3,15
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,31-179,1992,25.0,1013,817,190,76,0,0,0,0,0,0,0,0,852,6,1
ENG-Premier League,2324,Aston Villa,Ezri Konsa,ENG,DF,26-128,1997,22.2,1486,1352,133,48,1,0,10,83,0,0,0,0,1361,1,14
ENG-Premier League,2324,Aston Villa,Jacob Ramsey,ENG,"MF,FW",22-276,2001,9.2,313,301,12,1,3,0,11,1,10,3,0,0,249,0,9
ENG-Premier League,2324,Aston Villa,Jaden Philogene Bidace,ENG,FW,22-020,2002,0.0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,1
ENG-Premier League,2324,Aston Villa,Jhon Durán,COL,"FW,MF",20-077,2003,2.1,62,60,2,1,0,0,5,0,0,0,0,0,39,0,8
ENG-Premier League,2324,Aston Villa,John McGinn,SCO,"MF,FW",29-133,1994,24.7,922,857,62,17,13,5,56,3,36,27,0,0,725,3,20
ENG-Premier League,2324,Aston Villa,Leander Dendoncker,BEL,MF,28-319,1995,1.3,56,56,0,0,0,1,0,0,0,0,0,0,45,0,0
ENG-Premier League,2324,Aston Villa,Leon Bailey,JAM,"MF,FW",26-203,1997,14.0,486,468,16,1,8,5,43,3,12,8,0,0,356,2,26
ENG-Premier League,2324,Aston Villa,Lucas Digne,FRA,DF,30-223,1993,17.4,939,758,179,29,0,4,117,126,24,16,3,0,708,2,32
ENG-Premier League,2324,Aston Villa,Matty Cash,POL,DF,26-205,1997,18.6,988,848,140,18,0,3,33,122,0,0,0,0,805,0,18
ENG-Premier League,2324,Aston Villa,Morgan Rogers,ENG,"MF,FW",21-217,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
ENG-Premier League,2324,Aston Villa,Moussa Diaby,FRA,"FW,MF",24-236,1999,16.5,437,394,43,3,4,1,33,4,1,0,0,0,351,0,7
ENG-Premier League,2324,Aston Villa,Nicolò Zaniolo,ITA,"MF,FW",24-241,1999,6.1,151,148,2,0,0,1,13,1,0,0,0,0,100,1,17
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,28-060,1995,25.5,422,408,12,1,4,1,7,3,0,0,0,0,318,2,8
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,27-043,1997,18.4,1248,1167,77,53,0,22,6,4,0,0,0,0,1087,4,6
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31-261,1992,0.3,24,23,1,0,0,0,0,0,0,0,0,0,20,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-051,1990,1.0,39,37,2,0,0,0,0,0,0,0,0,0,30,0,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20-243,2003,0.3,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30-352,1993,0.3,5,5,0,0,1,0,0,0,0,0,0,0,5,0,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26-297,1997,10.2,526,497,26,8,11,1,16,7,3,2,1,0,427,3,16
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30-265,1993,8.5,412,333,79,7,0,0,27,72,0,0,0,0,322,0,26
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32-305,1991,13.2,585,454,130,10,2,1,17,120,0,0,0,0,455,1,14
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,20-191,2003,6.5,270,243,26,6,1,2,23,1,18,14,1,0,205,1,6
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,24-052,2000,12.8,340,332,8,0,1,2,18,8,0,0,0,0,243,0,12
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,26-115,1997,3.0,151,144,6,3,0,1,1,3,0,0,0,0,120,1,1
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-017,2002,6.0,253,218,34,2,1,0,19,30,2,0,0,0,163,1,8
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26-235,1997,3.1,132,120,12,1,1,1,15,5,6,5,0,0,95,0,6
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,26-167,1997,24.7,356,310,45,0,0,1,5,3,0,0,0,0,267,1,18
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"MF,FW",26-294,1997,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,24-012,2000,0.5,27,26,1,0,1,0,3,0,1,1,0,0,18,0,1
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,21-180,2002,25.0,1242,1211,30,30,2,5,0,0,0,0,0,0,1015,1,9
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26-276,1997,2.0,68,54,14,3,0,0,0,0,0,0,0,0,56,0,0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,FW,24-089,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,22-049,2002,0.8,37,29,8,0,0,0,0,8,0,0,0,0,27,0,2
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,29-048,1995,4.3,216,194,20,11,0,1,12,0,8,6,0,1,179,2,3
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,"MF,FW",24-299,1999,12.1,245,233,9,0,0,3,17,4,2,0,0,1,162,3,13
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"FW,MF",31-204,1992,1.2,42,41,1,0,0,0,2,0,0,0,0,0,28,0,3
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,27-025,1997,18.0,870,761,109,53,1,3,68,5,48,44,0,1,677,0,15
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,25-145,1998,11.2,608,512,92,12,1,6,11,80,0,0,0,0,450,4,10
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,"FW,MF",24-256,1999,6.5,237,237,0,0,1,5,7,0,0,0,0,0,183,0,12
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26-294,1997,18.3,1002,962,34,28,4,3,15,6,0,0,0,0,787,6,15
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,FW,24-343,1999,18.0,688,582,98,22,1,5,92,28,48,37,2,0,485,8,16
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,24-055,2000,12.1,501,385,115,10,2,3,11,105,0,0,0,0,379,1,20
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,20-113,2003,14.6,569,448,119,4,1,1,35,115,0,0,0,0,413,2,14
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34-224,1989,23.0,777,547,226,57,0,2,0,0,0,0,0,0,509,4,2
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27-262,1996,13.4,432,423,8,2,0,5,18,2,2,0,1,0,332,1,15
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,DF",25-229,1998,0.2,14,13,1,1,0,0,2,0,0,0,0,0,10,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,29-006,1995,22.0,864,810,49,13,13,13,42,1,16,15,0,0,653,5,17
