,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-281,1998,5,450,90,20.0,5.0,5,90,5,0,,19,2.6,9,4,5,1.0,-0.55,9.8,4.8,5.0,1.0,-0.35
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-134,1997,24,1890,79,84.0,21.0,22,85,17,2,7,0,2.17,49,21,28,1.33,-0.67,43.1,15.5,27.6,1.31,0.18
ENG-Premier League,2324,Arsenal,Bradley Ibrahim,ENG,MF,19-121,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-167,2001,24,2052,86,91.2,22.8,24,86,13,0,,0,2.17,52,22,30,1.32,-1.41,46.7,16.8,29.9,1.31,0.3
ENG-Premier League,2324,Arsenal,Charles Sagoe Jr,ENG,FW,19-210,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-172,1991,2,36,18,1.6,0.4,0,,0,2,18,13,3.0,1,0,1,2.5,1.08,0.8,0.4,0.4,1.14,-0.15
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-157,1995,20,1800,90,80.0,20.0,20,90,20,0,,3,2.1,49,18,31,1.55,0.55,40.4,13.2,27.1,1.36,0.35
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-036,1999,25,2138,86,95.0,23.8,25,86,18,0,,0,2.2,53,21,32,1.35,-1.87,46.4,16.8,29.6,1.25,-0.82
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-265,1999,23,1037,45,46.1,11.5,10,78,3,13,20,2,2.13,24,9,15,1.3,-0.26,21.6,9.8,11.8,1.03,-0.48
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-206,2000,9,220,24,9.8,2.4,2,72,0,7,11,9,2.22,9,0,9,3.68,2.48,5.1,1.3,3.8,1.56,0.3
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-335,2007,1,14,14,0.6,0.2,0,,0,1,14,1,3.0,0,0,0,0.0,-1.45,0.0,0.1,-0.1,-0.69,-1.99
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-265,2000,8,241,30,10.7,2.7,2,62,0,6,20,3,2.13,10,2,8,2.99,1.73,6.8,1.5,5.3,1.98,0.78
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-062,1997,23,1906,83,84.7,21.2,21,90,20,2,13,2,2.22,46,19,27,1.27,-1.08,40.9,15.9,25.0,1.18,-0.7
