,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-290,1998,5.0,158,113,150,8,0,0,158,0,0,,0,,107,564,332,0,0,0,1,0,84,0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-143,1997,22.0,1688,72,437,835,429,38,1688,14,6,42.9,7,50.0,944,3381,1800,23,19,6,17,6,1184,109
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-176,2001,23.6,1459,22,126,362,980,185,1455,93,35,37.6,43,46.2,941,5353,2604,111,52,44,47,36,1039,391
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-181,1991,0.4,32,0,4,18,10,0,32,0,0,,0,,24,92,45,0,0,0,0,0,25,4
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-166,1995,21.0,713,492,693,20,0,0,713,0,0,,0,,480,2157,1239,0,0,0,0,0,406,0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-045,1999,24.8,2006,82,462,1103,457,25,2006,26,13,50.0,10,38.5,1318,7912,3973,50,44,7,19,15,1511,30
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-274,1999,11.7,356,4,16,144,198,69,356,29,8,27.6,14,48.3,224,1123,469,21,11,10,36,15,265,73
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-215,2000,2.6,172,0,13,71,89,11,172,7,3,42.9,3,42.9,101,562,330,8,5,1,4,3,129,11
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-344,2007,0.2,20,0,0,9,11,2,20,1,0,0.0,0,0.0,16,123,66,2,2,0,0,0,17,1
