,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-290,1998,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-143,1997,22.0,1,7,3,42.9,0.32,0.14,0.14,0.33,13.4,0,0,0,0.6,0.6,0.09,0.4,0.4
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-176,2001,23.6,13,71,24,33.8,3.0,1.02,0.13,0.38,17.0,0,4,4,11.2,8.1,0.11,1.8,0.9
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-181,1991,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-166,1995,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-045,1999,24.8,4,32,10,31.3,1.29,0.4,0.13,0.4,21.4,1,0,0,1.7,1.7,0.05,2.3,2.3
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-274,1999,11.7,5,36,11,30.6,3.08,0.94,0.14,0.45,12.6,0,0,0,4.4,4.4,0.12,0.6,0.6
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-215,2000,2.6,0,10,4,40.0,3.83,1.53,0.0,0.0,15.9,0,0,0,1.5,1.5,0.15,-1.5,-1.5
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-344,2007,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-274,2000,2.7,1,5,1,20.0,1.87,0.37,0.0,0.0,18.3,0,1,1,1.2,0.4,0.08,-0.2,-0.4
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-071,1997,22.2,4,21,9,42.9,0.95,0.41,0.19,0.44,7.9,0,0,0,3.0,3.0,0.14,1.0,1.0
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-331,1997,12.1,4,41,16,39.0,3.38,1.32,0.1,0.25,11.5,0,0,0,5.3,5.3,0.13,-1.3,-1.3
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-255,2001,18.7,5,45,14,31.1,2.4,0.75,0.11,0.36,16.0,0,0,0,4.8,4.8,0.11,0.2,0.2
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-013,2000,6.9,1,4,2,50.0,0.58,0.29,0.25,0.5,10.4,0,0,0,0.8,0.8,0.2,0.2,0.2
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-070,1991,6.6,0,4,0,0.0,0.61,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-256,2001,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24-262,1999,17.8,6,33,8,24.2,1.86,0.45,0.15,0.63,12.4,0,1,1,7.2,6.4,0.19,-1.2,-1.4
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-086,1994,10.3,7,38,12,31.6,3.7,1.17,0.18,0.58,16.1,0,0,0,5.1,5.1,0.13,1.9,1.9
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-073,1998,22.5,5,46,15,32.6,2.04,0.67,0.07,0.2,21.3,2,2,2,4.7,3.1,0.07,0.3,-0.1
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-232,1992,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,27-075,1996,15.9,1,15,3,20.0,0.95,0.19,0.07,0.33,22.4,0,0,0,0.5,0.5,0.03,0.5,0.5
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,"FW,MF",24-080,1999,2.0,0,3,1,33.3,1.48,0.49,0.0,0.0,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2324,Arsenal,Takehiro Tomiyasu,JPN,DF,25-115,1998,7.0,1,8,2,25.0,1.14,0.28,0.13,0.5,17.8,0,0,0,0.5,0.5,0.06,0.5,0.5
ENG-Premier League,2324,Arsenal,Thomas Partey,GHA,"DF,MF",30-260,1993,2.8,0,2,1,50.0,0.72,0.36,0.0,0.0,17.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2324,Arsenal,William Saliba,FRA,DF,22-341,2001,26.0,2,8,2,25.0,0.31,0.08,0.25,1.0,11.0,0,0,0,1.5,1.5,0.19,0.5,0.5
ENG-Premier League,2324,Aston Villa,Bertrand Traoré,BFA,"DF,FW",28-175,1995,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
