,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25-290,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-143,1997,25,23,1980,22.0,1,2,3,1,0,0,5,0,0.6,0.6,2.0,2.7,23,120,109,0.05,0.09,0.14,0.05,0.14,0.03,0.09,0.12,0.03,0.12
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-176,2001,25,25,2127,23.6,13,7,20,9,4,4,3,0,11.2,8.1,7.7,15.8,111,92,391,0.55,0.3,0.85,0.38,0.68,0.48,0.33,0.8,0.34,0.67
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-181,1991,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-166,1995,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-045,1999,26,26,2228,24.8,4,5,9,4,0,0,3,0,1.7,1.7,3.5,5.3,50,218,30,0.16,0.2,0.36,0.16,0.36,0.07,0.14,0.21,0.07,0.21
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,24-274,1999,24,10,1052,11.7,5,2,7,5,0,0,3,0,4.4,4.4,0.8,5.2,21,19,73,0.43,0.17,0.6,0.43,0.6,0.38,0.07,0.45,0.38,0.45
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-215,2000,10,2,235,2.6,0,1,1,0,0,0,0,0,1.5,1.5,0.2,1.7,8,16,11,0.0,0.38,0.38,0.0,0.38,0.57,0.07,0.64,0.57,0.64
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,16-344,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,MF,23-274,2000,8,2,241,2.7,1,2,3,0,1,1,0,1,1.2,0.4,1.1,1.5,9,12,24,0.37,0.75,1.12,0.0,0.75,0.45,0.4,0.84,0.15,0.55
ENG-Premier League,2324,Arsenal,Gabriel Dos Santos,BRA,DF,26-071,1997,24,22,1996,22.2,4,0,4,4,0,0,2,0,3.0,3.0,0.7,3.7,11,88,7,0.18,0.0,0.18,0.18,0.18,0.14,0.03,0.17,0.14,0.17
ENG-Premier League,2324,Arsenal,Gabriel Jesus,BRA,FW,26-331,1997,17,13,1093,12.1,4,3,7,4,0,0,5,0,5.3,5.3,2.6,7.9,28,34,106,0.33,0.25,0.58,0.33,0.58,0.44,0.22,0.65,0.44,0.65
ENG-Premier League,2324,Arsenal,Gabriel Martinelli,BRA,FW,22-255,2001,24,22,1686,18.7,5,3,8,5,0,0,1,0,4.8,4.8,5.1,9.9,105,59,291,0.27,0.16,0.43,0.27,0.43,0.26,0.27,0.53,0.26,0.53
ENG-Premier League,2324,Arsenal,Jakub Kiwior,POL,DF,24-013,2000,14,7,620,6.9,1,2,3,1,0,0,1,0,0.8,0.8,0.6,1.4,2,36,10,0.15,0.29,0.44,0.15,0.44,0.11,0.09,0.2,0.11,0.2
ENG-Premier League,2324,Arsenal,Jorginho,ITA,MF,32-070,1991,16,6,595,6.6,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,5,67,4,0.0,0.15,0.15,0.0,0.15,0.01,0.11,0.12,0.01,0.12
ENG-Premier League,2324,Arsenal,Jurriën Timber,NED,DF,22-256,2001,1,1,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2324,Arsenal,Kai Havertz,GER,"MF,FW",24-262,1999,25,18,1599,17.8,6,2,8,5,1,1,6,0,7.2,6.4,1.8,8.1,35,73,110,0.34,0.11,0.45,0.28,0.39,0.4,0.1,0.5,0.36,0.46
ENG-Premier League,2324,Arsenal,Leandro Trossard,BEL,"FW,MF",29-086,1994,22,9,925,10.3,7,1,8,7,0,0,0,0,5.1,5.1,1.7,6.8,31,51,84,0.68,0.1,0.78,0.68,0.78,0.49,0.16,0.66,0.49,0.66
ENG-Premier League,2324,Arsenal,Martin Ødegaard,NOR,MF,25-073,1998,23,23,2029,22.5,5,6,11,3,2,2,2,0,4.7,3.1,5.9,9.0,64,217,131,0.22,0.27,0.49,0.13,0.4,0.21,0.26,0.47,0.14,0.4
ENG-Premier League,2324,Arsenal,Mohamed Elneny,EGY,MF,31-232,1992,3,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26
ENG-Premier League,2324,Arsenal,Oleksandr Zinchenko,UKR,DF,27-075,1996,21,17,1428,15.9,1,2,3,1,0,0,2,0,0.5,0.5,1.8,2.3,35,193,54,0.06,0.13,0.19,0.06,0.19,0.03,0.11,0.14,0.03,0.14
ENG-Premier League,2324,Arsenal,Reiss Nelson,ENG,"FW,MF",24-080,1999,13,0,182,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,7,3,16,0.0,0.0,0.0,0.0,0.0,0.05,0.25,0.3,0.05,0.3
